item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
3daf13a2-6426-41b7-a096-bba9adf84e96,afe6c6eb-f21d-493c-b88d-f6175e54fdd1,1,計算 [(10 × -7)]÷8 × 8×|4 + -10 - -2| 的值,,-288.0,PASS,,1,7.5,7.5,8.17,6.67,1.5,13.67,5,3,3,2.67,21.83,0.0,0.0,False,10,0.0,8,0,383,0,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.05
518eee02-7914-44ef-8279-660a3fec9f2f,afe6c6eb-f21d-493c-b88d-f6175e54fdd1,2,計算 [(-9 - 9)]÷-7 - 2×|7 - -2 - -9| 的值,,2.571428571428571,PASS,,1,7.5,7.5,8.17,6.67,1.5,12.33,2,3,3,4.33,20.5,0.0,0.0,False,10,0.0,13,0,383,0,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.04
5596f422-db67-4395-a55d-fe2a9de51819,afe6c6eb-f21d-493c-b88d-f6175e54fdd1,3,計算 [(10 ÷ -6)]÷0 × 5×|0 - 3 - -8| 的值,,"{'question_text': '計算 [(-5 - -10)]÷-5 + -8×|8 × 7 - -3| 的值', 'answer': '', 'correct_answer': '-441.0', 'mode': 1}",PASS,,1,7.5,7.5,8.17,6.67,1.5,10.33,2,3,3,2.33,18.5,0.0,0.0,False,10,0.0,7,0,383,0,"✗ 標準形式 (期望True, 得False) | ✗ 小數形式 (期望True, 得False) | ✗ 省略乘號 (期望True, 得False) | ✓ 明顯錯誤",PARTIAL,0.07
6675ecc9-4288-4284-9b3c-f8fddf35462d,b8ed0b65-5dc4-4406-a2f8-849df0b37dd4,1,計算 $$[(6 \times 5) + (-15)] \div 3 + |15 \times 7 - 3|$$ 的值。,,107,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
4045ed81-a496-4606-8ade-daf637d4a129,b8ed0b65-5dc4-4406-a2f8-849df0b37dd4,2,計算 $$[(4 \times 5) + (-24)] \div 4 + |12 \times (-4) - 1|$$ 的值。,,48,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
b1b076d9-2bba-4ef4-8e35-5ee09aed011e,b8ed0b65-5dc4-4406-a2f8-849df0b37dd4,3,計算 $$[(12 \times 3) + 3] \div 3 + |(-2) \times 1 - 8|$$ 的值。,,23,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,3,5,4.33,47.33,0.0,0.0,True,15,10.0,13,5,3522,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
c40156d6-08ee-40f5-afb5-d749b9f98da8,ffd8cc34-da2c-46fd-b7a1-2b8854ebbf8e,1,計算 $$[(13 \times 2) + (-4)] \div 2 + |(-1) \times 4 - 11|$$ 的值。,,26,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
b683f8bf-09df-4085-a6ba-6c283d8feff5,ffd8cc34-da2c-46fd-b7a1-2b8854ebbf8e,2,計算 $$[((-2) \times 5) + 7] \div 3 + |6 \times (-1) - 10|$$ 的值。,,15,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
dedb62a4-4c21-4f5c-9275-d2dc0b113fb0,ffd8cc34-da2c-46fd-b7a1-2b8854ebbf8e,3,計算 $$[(55 \times 2) + 10] \div 10 + |(-5) \times (-7) - 11|$$ 的值。,,36,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.67,5,3,5,4.67,47.67,0.0,0.0,True,15,10.0,14,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
915b6c6c-5f34-43e4-a30c-2da8fb9f692c,3dafa63a-e307-4427-996a-c3ae78e0d3b4,1,,,,ERROR,"SyntaxError: invalid syntax (<string>, line 1)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,False,15,0.0,0,0,0,0,,,0.0
