task_id,seed,p0_generation_id,candidate_generation_id,p0_pipeline_status,candidate_pipeline_status,pipeline_transition,paired_rescue,paired_regression,candidate_protocol_compliant,candidate_reasoning_leakage,regression_disclosure
Mbpp/748,11,0eb9607223a484740924cfdae9d6b8a9d0b4de9628d7650ea5eac20e9d7623ed,cacf39e6340f334335acda2f859e294c687fec0bbe111237b3cb449ee702cc43,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/748,22,3039b256417fa986c6543bc0ea8725b4764e7f061080ad6b6aa50820d2ed3c1e,4273cdbbedc7f13dfdbc2c81e9b52927ef20f529c946d0202a655ebd66aefb76,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/748,33,ec0cab77ebb0f2e20c579c0ab18f8f0ef7b7254cd5ea26c7f1d5178c50d265f9,b634a6b07c6fc8596a4c291a9a06a055214d20c8a9b88175ec2b51f50dcbb0af,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/748,44,f1e359b5ec1aa5ee3a4239ca312c67de9b80b82b191e61b9a01727a33ffed37e,fb62646c6eb0ae38e91d491bb9e3f02db5ea17b1b13bdc4b03f453859af921d0,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/748,55,874d0d2a64fd17b8e31f1945455cb48b5319808104b155e1abc0138bb854632c,6a7a6edb50f56aee133fea27a4726c07a056c8503d2ddb38a00bdbc817ac7203,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/759,11,1cb6b0eb832dca0a6762e84175a5642eb0bdecac7a173b48bd205683d869211a,65a312ec23c61afd133b68c9b33ac2b0b2ebaa6ccfd07ee7a409a72036f9382c,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/759,22,d86c570e1f899581eea3b7a6d833ae0e28a1b964c92201a31fe5c0359a1e7837,f2357f80e796f081206af1c8b72642172c05c85223c8d86d5ceec3f858c85e7a,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/759,33,2752ed7b08ac77720ec1a51787debd46948d80b7fc9829aa2c5d965977f9e0a0,47790fb8aafc074cf559c36dd7599ed7db43950db15987f24940f952e3e9cbe3,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/759,44,72bb9e078ba939a782bb9163c83e8b00cd3aa4f43e44207b8dbceb78b8676f26,74040762c9cc969faac0318ec880a90be38761512f455729de3c69fd0e10b901,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/759,55,0f27e3592755a8db565f8aaaf0ea2f4b4413acd8181d4e10efe5ccc7ce2c42b7,deacf9fb8e8b11cb8983dd3ca966ea2f9032f072bf5e1e005fad5450607dde26,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/430,11,1077087f2d7e9a1c5be3eef81da7dd24881dec34b33875a3bbad496267c137bc,58dcc3ade88205acc26830362c4285d7afb6fde12618d671bfdc07b8b49dbbf0,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/430,22,38e3d74ab2f050a39bbba4471772fa6b1b5cd46637f9e7fd493049fdf03b9fc8,77122be9628081066a79691fb34b93b45b9bd63764203d231afb5ffe5979344c,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/430,33,4a045c4919de032e5aa09027dc957e09ce3bc284548fe5da16a97e68737a6dad,02fb6deccf752f23de0f600cd40eba0980ce10b5b9a256c341667c8872d0fedc,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/430,44,acfa75f22e794b6f6da595f375ef83b4af0be11ee2943e0be003d638417dcfe4,ee8b57d48679cf202a7a1487bde8d750919e74a34fa593a88239f62f9fdbd14a,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/430,55,c1560ab79ec8d40548b67bc784235802b50353c29c56d148c454cbc6b934c8b3,a3e6c64fc92820e86204e6c32713e81457f3aa90388e2f698f36b05527cba204,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/67,11,8ac510725bcce5abcb8ff3cb4be6c59dd17484cf6be2358f2ee003e07dc80726,f2824a328dc6362f69e48fc7c41bb21bc24bd2331edc93dbae359691f79c834c,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/67,22,6ae47b310c07c3c303bdb70f8688999b45a0ac0cb97f65664a3d5b60eb3deff6,ef4ce941b174958087fed6064537ba440a68f13586afeb0453854cba8056ec44,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/67,33,1aad4362b16c91b5748dec998c9ab832bb04f6d40632a2d4c60b92a544610725,6792b7dd134c81f05b9d31cce888520f845da6d74a383ab8ed53a5bad0fe4fa1,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/67,44,e62468f6f6474794076b4c6b233ad6f050a0df2f065320f630ef2f3e0751f585,b63d746f4aa31a9c141a2c0b47334ae8634f02d8d1147ba44f3180ca7f5e599d,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/67,55,b7df85825bf5663c88c39b205e32e3e78487e39016fd7ae155d830cc7ba3eca5,70d127bf58920f59fe1371f0129554c1612066692962a395cfe9f6dd122245cf,fail,fail,fail_to_fail,false,false,true,false,not_applicable
Mbpp/11,11,7e5cd7bf7b8bf68609314fe046b5f54a324202cfae40141eef3f1e5773cf399e,ea7a9ac15b3c7d59a74a7b714853ec8b7db3e53cd15a19ffeaa4a2f690fdd450,fail,pass,fail_to_pass,true,false,true,false,not_applicable
Mbpp/11,22,fa78b887b2fb6cc6daa8a16c9950b44b11af6dfa1fff1a06669b90140c8784c3,29388f820237a9bd9be4d4d312813cf0ddd7606d36b2af00eef7dcb91e46f2f9,fail,fail,fail_to_fail,false,false,true,false,not_applicable
