item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
66fd3524-d6db-4feb-8181-262f6e01c0bd,e33d30c5-92fe-4772-b1bf-ec79cd5f55a7,1,計算 |9×(-3)+25|-[7×((-11)-(-13))]÷(-2) 的值。,,9,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.0,5,3,5,3.0,36.0,0.0,0.0,True,15,0.0,9,0,736,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
9cb2cd8f-af78-4c1a-984a-8cebac731a6a,e33d30c5-92fe-4772-b1bf-ec79cd5f55a7,2,計算 |0×(-4)+-20|-[4×(14-7)]÷1 的值。,,-8,PASS,,1,7.5,7.5,20.0,10.0,10.0,13.67,5,3,3,2.67,33.67,0.0,0.0,True,10,0.0,8,0,736,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
87f1d8d5-9f2a-4b14-88e7-21186e780db4,e33d30c5-92fe-4772-b1bf-ec79cd5f55a7,3,計算 |3×(-2)+-18|-[10×((-5)-(-13))]÷(-4) 的值。,,44,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.33,5,3,3,3.33,34.33,0.0,0.0,True,10,0.0,10,0,736,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
789aa774-17ef-4efd-9754-dfe4003d5352,2f5642d0-264d-4c47-8e62-aaf5cecfe775,1,計算 [16+(-8)]÷2×(-2)-|5×(-7)+14| 的值。,,-29,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.67,5,3,5,2.67,35.67,0.0,0.0,True,15,0.0,8,0,362,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
77049349-c322-4c9d-a3d0-8705d550c4e6,2f5642d0-264d-4c47-8e62-aaf5cecfe775,2,計算 [4+(-8)]÷(-1)×(-2)-|6×(-4)+15| 的值。,,-17,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.0,5,3,5,3.0,36.0,0.0,0.0,True,15,0.0,9,0,362,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
3e4bb333-5aba-4b98-bc34-9afc55f14142,2f5642d0-264d-4c47-8e62-aaf5cecfe775,3,計算 [(-26)+26]÷13×(-6)-|9×(-9)+11| 的值。,,-70,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.67,5,3,5,2.67,35.67,0.0,0.0,True,15,0.0,8,0,362,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
75daa399-c172-4515-97b9-1f42ded6f757,865ecddf-df4a-4e90-a56e-3aa60817aa03,1,計算 |5×10|+(12-22)×8÷2 的值。,,10,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.33,5,3,5,1.33,34.33,0.0,0.0,True,15,0.0,4,0,679,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
c29ce5d1-d93f-44a3-807d-ee5b25bac9b7,865ecddf-df4a-4e90-a56e-3aa60817aa03,2,計算 (-17)-((-5)×(-1)+35)÷8-|(-15)-(-14)| 的值。,,-23,PASS,,1,7.5,7.5,20.0,10.0,10.0,17.0,5,3,5,4.0,37.0,0.0,0.0,True,15,0.0,12,0,679,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
6d131401-f588-427d-b8d1-fcbe1488fcda,865ecddf-df4a-4e90-a56e-3aa60817aa03,3,計算 |(-8)×(-5)|+((-4)-(-14))×(-4)÷5 的值。,,32,PASS,,1,7.5,7.5,20.0,10.0,10.0,16.0,5,3,5,3.0,36.0,0.0,0.0,True,15,0.0,9,0,679,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
aee45f2b-b912-4c69-a6b2-6a65c6c5a944,f2a3d35d-0376-4163-a78f-97936eddd45c,1,計算 [((-41))+76]÷7×10+|(-6)×(-4)+4| 的值。,,78,PASS,,1,7.5,7.5,20.0,10.0,10.0,15.0,5,3,5,2.0,35.0,0.0,0.0,True,15,0.0,6,0,362,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
acabaec3-3241-45b6-b230-9cbda93af367,f2a3d35d-0376-4163-a78f-97936eddd45c,2,計算 [((-5))+35]÷5×8+|0×9-36| 的值。,,84,PASS,,1,7.5,7.5,20.0,10.0,10.0,14.67,5,3,5,1.67,34.67,0.0,0.0,True,15,0.0,5,0,362,0,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
