item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
f42ccccf-9568-4214-bf20-2590ec2e3739,fd60ce1e-d7bf-4401-95bd-6d0eaa29eb99,1,計算 $$[4 + (-94)] \div 9 + |8 \times (-9) - 5|$$ 的值。,,67,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
ac705026-97ba-4b80-a3e3-50c13754a3de,fd60ce1e-d7bf-4401-95bd-6d0eaa29eb99,2,計算 $$[3 + 22] \div 5 + |(-4) \times (-4) - 5|$$ 的值。,,16,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.09
1c138359-561f-48fe-9dba-a54e621fbd41,fd60ce1e-d7bf-4401-95bd-6d0eaa29eb99,3,計算 $$[17 + (-13)] \div 2 + |(-7) \times 2 - 5|$$ 的值。,,21,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
50874ab2-c827-4c25-96b3-e10606b9cb79,192fe8b2-301e-4bb6-9f80-5a8a7b10f5fc,1,計算 $$[(-3) + 52] \div 7 + |5 \times (-7) - 5|$$ 的值。,,47,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.09
3f378061-7f54-4459-9dd0-d2c318cb27e0,192fe8b2-301e-4bb6-9f80-5a8a7b10f5fc,2,計算 $$[7 + 41] \div 8 + |(-3) \times 3 - 5|$$ 的值。,,20,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.0,5,3,5,2.0,40.0,0.0,0.0,True,15,5.0,10,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.49
56043084-7018-4fa0-8740-f9b185ac29ae,192fe8b2-301e-4bb6-9f80-5a8a7b10f5fc,3,計算 $$[(-19) + 13] \div 6 + |(-6) \times 9 - 5|$$ 的值。,,58,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
cd1b9be9-2afc-489e-9645-22f8310ed87e,1fe53248-22d8-4cf4-853b-2f846ae22121,1,計算 $$[(-11) + 51] \div 10 + |(-10) \times 8 - 5|$$ 的值。,,89,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.07
ffc99e86-9ea2-410a-be98-a64d2be52a0e,1fe53248-22d8-4cf4-853b-2f846ae22121,2,計算 $$[(-9) + (-1)] \div 10 + |2 \times 5 - 5|$$ 的值。,,4,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
6f75ac7b-a4e2-425c-8562-a298d4bb8614,1fe53248-22d8-4cf4-853b-2f846ae22121,3,計算 $$[(-14) + 64] \div 10 + |(-8) \times 7 - 5|$$ 的值。,,66,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.2,5,3,5,2.2,40.2,0.0,0.0,True,15,5.0,11,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.08
821ace16-208a-4236-beba-313174092d72,34db8488-c883-4137-b687-0daf2c6f9262,1,計算 $$[4 + (-19)] \div 3 + |7 \times 10 - 5|$$ 的值。,,60,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.0,5,3,5,2.0,40.0,0.0,0.0,True,15,5.0,10,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.08
e45c3004-0762-4b88-a339-22988b142cb6,34db8488-c883-4137-b687-0daf2c6f9262,2,計算 $$[14 + 4] \div 3 + |(-10) \times 3 - 5|$$ 的值。,,41,PASS,,1,6.0,7.5,20.0,10.0,10.0,20.0,5,3,5,2.0,40.0,0.0,0.0,True,15,5.0,10,4,3158,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
