item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
3d0e1bd8-1064-489a-93f5-ebbddc0bcb65,49301b43-7cf4-4f79-b8b1-a5b37894e0ed,1,計算 $$[((-5) \times 2) + (-4)] \div 2 + |(-5) \times (-6) - 12|$$ 的值。,,11,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.45,5,3,5,3.2,42.45,0.0,0.0,True,15,6.25,16,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
7c327a78-1690-40de-93ff-8d83a2bc9077,49301b43-7cf4-4f79-b8b1-a5b37894e0ed,2,計算 $$[((-3) \times 4) + (-12)] \div 8 + |1 \times (-6) - 6|$$ 的值。,,9,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
1638a3ce-33cb-462d-846a-4c228c1ceccb,49301b43-7cf4-4f79-b8b1-a5b37894e0ed,3,計算 $$[(4 \times 3) + 0] \div 3 + |(-9) \times 4 - 5|$$ 的值。,,45,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.65,5,3,5,2.4,41.65,0.0,0.0,True,15,6.25,12,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
039d5cd2-2cb6-4076-b5f7-4bd650f5db27,ef868284-891d-4ec1-bb7b-136a6b0ee697,1,計算 $$[(2 \times 3) + 8] \div 2 + |3 \times (-3) - 16|$$ 的值。,,32,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.85,5,3,5,2.6,41.85,0.0,0.0,True,15,6.25,13,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
87440cd2-28c9-42f5-88a5-74734711f0e1,ef868284-891d-4ec1-bb7b-136a6b0ee697,2,計算 $$[(54 \times 2) + 4] \div 8 + |(-3) \times 10 - 1|$$ 的值。,,45,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.85,5,3,5,2.6,41.85,0.0,0.0,True,15,6.25,13,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
da9815f1-3561-44d0-9729-70c2028de205,ef868284-891d-4ec1-bb7b-136a6b0ee697,3,計算 $$[(1 \times 3) + 9] \div 4 + |10 \times 4 - 16|$$ 的值。,,27,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.65,5,3,5,2.4,41.65,0.0,0.0,True,15,6.25,12,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
a38a928b-be1f-40b5-847b-4d1e32885ded,b8a5a7f4-baee-4dd2-8aaa-fc982a48c01b,1,計算 $$[((-4) \times 3) + (-9)] \div 3 + |(-10) \times (-3) - 13|$$ 的值。,,10,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.45,5,3,5,3.2,42.45,0.0,0.0,True,15,6.25,16,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
4c211302-933e-4c47-85df-32eb64d8c5a4,b8a5a7f4-baee-4dd2-8aaa-fc982a48c01b,2,計算 $$[((-39) \times 3) + 17] \div 10 + |3 \times 3 - 4|$$ 的值。,,-5,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.85,5,3,5,2.6,41.85,0.0,0.0,True,15,6.25,13,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
551dd4d7-6722-4011-adc8-b94107339866,b8a5a7f4-baee-4dd2-8aaa-fc982a48c01b,3,計算 $$[(10 \times 3) + 14] \div 4 + |1 \times 9 - 11|$$ 的值。,,13,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.65,5,3,5,2.4,41.65,0.0,0.0,True,15,6.25,12,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
4ff4e1b0-b498-4484-be80-c57eadd79954,619e30cf-1e2f-4902-8cb3-d71d07d8eb0d,1,計算 $$[((-13) \times 2) + 8] \div 6 - |9 \times 7 - 11 + (-3)| + (2 \times 5 - 7)$$ 的值。,,-49,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.7,5,3,5,3.2,43.7,0.0,0.0,True,15,7.5,16,6,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
1ba58dea-b545-4c8a-b464-5961222aa504,619e30cf-1e2f-4902-8cb3-d71d07d8eb0d,2,計算 $$[((-19) \times 4) + 12] \div 16 - |14 \times (-5) - 16 + (-3)| + ((-7) \times 2 - 6)$$ 的值。,,-113,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.1,5,3,5,3.6,44.1,0.0,0.0,True,15,7.5,18,6,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
