item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
dd54efde-3fb6-457b-8e99-2a6946a0284c,74b3861b-6bc2-45e5-9965-46989f4d0e76,1,計算 $$   \left[(4+15) \times 1\right] \div \left(-1\right) + \left|4 \times -\frac{3}{4} - 8\right|   $$ 的值。,,-8,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,26,9,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
0a4decd6-65c4-423e-9aef-6d2dc5bbae23,74b3861b-6bc2-45e5-9965-46989f4d0e76,2,計算 $$   \left[(2+12) \times 1\right] \div \left(-1\frac{1}{2}\right) + \left|-2 \times -1\frac{1}{2} - 1\right|   $$ 的值。,,-22/3,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,30,9,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
050fffe8-25dc-41c5-8e1d-a9e0920034fb,74b3861b-6bc2-45e5-9965-46989f4d0e76,3,計算 $$   \left[(-9+12) \times 1\right] \div \left(-\frac{1}{2}\right) + \left|-6 \times -\frac{4}{9} - 9\right|   $$ 的值。,,1/3,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,32,9,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
d28d06da-f198-4221-a159-6d3db4ea2b8a,b80eae1d-2bf7-4711-afca-c2aba5d63743,1,計算 $$   \left[(40+96) \times \frac{13}{14}\right] \div \left(-\frac{10}{13}\right) + \left|-40 \times -\frac{2}{5} - 1\right|   $$ 的值。,,-5221/35,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,33,10,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
977209b4-93cf-496f-9f0c-8b4de1b03778,b80eae1d-2bf7-4711-afca-c2aba5d63743,2,計算 $$   \left[(95+33) \times \frac{10}{19}\right] \div \left(-\frac{1}{14}\right) + \left|-35 \times -\frac{3}{8} - 3\right|   $$ 的值。,,-141821/152,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,34,10,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
76d9d379-b98b-44f1-a848-2b62dceac862,b80eae1d-2bf7-4711-afca-c2aba5d63743,3,計算 $$   \left[(-1+15) \times 3\frac{4}{5}\right] \div \left(-1\frac{1}{2}\right) + \left|20 \times -\frac{2}{5} - 20\right|   $$ 的值。,,-112/15,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,33,10,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
d92eae17-f809-4bf0-9496-1cdd39430f75,d480fede-fb48-46ba-a00c-bb2c7ad82254,1,計算 $$   \left[(58+57) \times \frac{2}{13}\right] \div \left(-1\frac{1}{3}\right) + \left|-48 \times -1\frac{5}{12} - 13\right|   $$ 的值。,,1085/26,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,34,10,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
a4b8d030-17ef-43d9-81f4-f6c9c4d4f231,d480fede-fb48-46ba-a00c-bb2c7ad82254,2,計算 $$   \left[(-4+64) \times \frac{4}{19}\right] \div \left(-1\frac{5}{6}\right) + \left|25 \times -1\frac{1}{2} - 1\right|   $$ 的值。,,13213/418,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,32,10,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
b6c7631f-ed66-471b-828b-5d0bf8898d2e,d480fede-fb48-46ba-a00c-bb2c7ad82254,3,計算 $$   \left[(30+70) \times 2\frac{2}{7}\right] \div \left(-\frac{2}{5}\right) + \left|7 \times -\frac{3}{7} - 15\right|   $$ 的值。,,-3874/7,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,32,10,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
fc73ce7d-eaaa-429a-909a-cae96feb0927,de0c9ca9-13b6-4f44-98f4-bcdaf3b678d9,1,計算 $$   \left[(95+17) \times 1\right] \div \left(-\frac{7}{10}\right) + \left|19 \times -1\frac{9}{11} - 9\right|   $$ 的值。,,-1281/11,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,29,9,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
d0b9222d-b1cd-4c8c-9932-2ad1b61feb77,de0c9ca9-13b6-4f44-98f4-bcdaf3b678d9,2,計算 $$   \left[(81+28) \times 1\frac{2}{7}\right] \div \left(-\frac{5}{9}\right) + \left|35 \times -1\frac{7}{12} - 14\right|   $$ 的值。,,-76793/420,PASS,,1,6.0,7.5,20.0,10.0,10.0,29.0,5,4,5,5.0,49.0,0.0,0.0,True,15,10.0,32,10,3725,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.06
