run_id,treatment_id,task_id,seed,generation_id,observed_status,pipeline_corrected_status,observed_syntax_compile_status,pipeline_corrected_syntax_compile_status,observed_runtime_timeout_status,pipeline_corrected_runtime_timeout_status,observed_output_sha256,pipeline_corrected_output_sha256,protocol_compliant,reasoning_leakage,evaluator_version,evaluator_engine
mbpp_q35_9b_ca_exp40_r002,candidate_a_scaffold,Mbpp/748,11,cacf39e6340f334335acda2f859e294c687fec0bbe111237b3cb449ee702cc43,fail,fail,fail,fail,failure,failure,20e2451a476ccce4dd7ee9475a1b163807833908c828adf4aacea50e611075b3,20e2451a476ccce4dd7ee9475a1b163807833908c828adf4aacea50e611075b3,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_ca_exp40_r002,candidate_a_scaffold,Mbpp/748,22,4273cdbbedc7f13dfdbc2c81e9b52927ef20f529c946d0202a655ebd66aefb76,fail,fail,pass,pass,failure,failure,f00328582f9cda58fd1c96df51c5c815603d85441517ef8f950d66248bd707d0,f00328582f9cda58fd1c96df51c5c815603d85441517ef8f950d66248bd707d0,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_ca_exp40_r002,candidate_a_scaffold,Mbpp/748,33,b634a6b07c6fc8596a4c291a9a06a055214d20c8a9b88175ec2b51f50dcbb0af,fail,fail,pass,pass,failure,failure,2f41edc05002c088edc1d57c2db653b7216f85a2af157da3ca1ab8948b94f8a9,2f41edc05002c088edc1d57c2db653b7216f85a2af157da3ca1ab8948b94f8a9,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_ca_exp40_r002,candidate_a_scaffold,Mbpp/748,44,fb62646c6eb0ae38e91d491bb9e3f02db5ea17b1b13bdc4b03f453859af921d0,fail,fail,pass,pass,failure,failure,3f8bbe97b82863bfbd7f0754270f8fc7ece43aab1a7a9856a11ff739517b8eba,3f8bbe97b82863bfbd7f0754270f8fc7ece43aab1a7a9856a11ff739517b8eba,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_ca_exp40_r002,candidate_a_scaffold,Mbpp/748,55,6a7a6edb50f56aee133fea27a4726c07a056c8503d2ddb38a00bdbc817ac7203,fail,fail,pass,pass,failure,failure,c497b831022b6dbae69762b8380cacc1ace3bbc1f4e475e50350617331ea2b42,c497b831022b6dbae69762b8380cacc1ace3bbc1f4e475e50350617331ea2b42,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_ca_exp40_r002,candidate_a_scaffold,Mbpp/759,11,65a312ec23c61afd133b68c9b33ac2b0b2ebaa6ccfd07ee7a409a72036f9382c,fail,fail,pass,pass,failure,failure,ff1cf13eab5317f4a690c0b23cb0a29a24c6f638a388759ff4cd14167807c50c,ff1cf13eab5317f4a690c0b23cb0a29a24c6f638a388759ff4cd14167807c50c,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_ca_exp40_r002,candidate_a_scaffold,Mbpp/759,22,f2357f80e796f081206af1c8b72642172c05c85223c8d86d5ceec3f858c85e7a,fail,fail,pass,pass,failure,failure,db9ae13f864cd470d564fd7627c5212d11be382f221fdf755c1fe099279b6e20,db9ae13f864cd470d564fd7627c5212d11be382f221fdf755c1fe099279b6e20,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_ca_exp40_r002,candidate_a_scaffold,Mbpp/759,33,47790fb8aafc074cf559c36dd7599ed7db43950db15987f24940f952e3e9cbe3,fail,fail,pass,pass,failure,failure,19d50da562bf0da05e6b463acb1b4d96b52ea5432c3571cdf781b34eeff72ad8,19d50da562bf0da05e6b463acb1b4d96b52ea5432c3571cdf781b34eeff72ad8,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_ca_exp40_r002,candidate_a_scaffold,Mbpp/759,44,74040762c9cc969faac0318ec880a90be38761512f455729de3c69fd0e10b901,fail,fail,pass,pass,failure,failure,85bbcc38011634de578b7638b99f0302d3a7b2ba7432cff06e2824ed383a20ea,85bbcc38011634de578b7638b99f0302d3a7b2ba7432cff06e2824ed383a20ea,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
mbpp_q35_9b_ca_exp40_r002,candidate_a_scaffold,Mbpp/759,55,deacf9fb8e8b11cb8983dd3ca966ea2f9032f072bf5e1e005fad5450607dde26,fail,fail,fail,fail,failure,failure,31abbe94bc13fbeb4c2afcb7327fc362c3fe3f1ebf3ae2da6428ab627746db4d,31abbe94bc13fbeb4c2afcb7327fc362c3fe3f1ebf3ae2da6428ab627746db4d,true,false,0.3.1,evalplus_0.3.1_check_correctness_subset
